Bulbasaur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fushigidaneフシギダネ,,88.1,1,65,65,45,grass,poison,6.9,1,0
Ivysaur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fushigisouフシギソウ,,88.1,2,80,80,60,grass,poison,13,1,0
Venusaur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fushigibanaフシギバナ,,88.1,3,122,120,80,grass,poison,100,1,0
Charmander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hitokageヒトカゲ,,88.1,4,60,50,65,fire,,8.5,1,0
Charmeleon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lizardoリザード,,88.1,5,80,65,80,fire,,19,1,0
Charizard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lizardonリザードン,,88.1,6,159,115,100,fire,flying,90.5,1,0
Squirtle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zenigameゼニガメ,,88.1,7,50,64,43,water,,9,1,0
Wartortle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kameilカメール,,88.1,8,65,80,58,water,,22.5,1,0
Blastoise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kamexカメックス,,88.1,9,135,115,78,water,,85.5,1,0
Caterpie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caterpieキャタピー,,50,10,20,20,45,bug,,2.9,1,0
Metapod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transelトランセル,,50,11,25,25,30,bug,,9.9,1,0
Butterfree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Butterfreeバタフリー,,50,12,90,80,70,bug,flying,32,1,0
Weedle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beedleビードル,,50,13,20,20,50,bug,poison,3.2,1,0
Kakuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cocoonコクーン,,50,14,25,25,35,bug,poison,10,1,0
Beedrill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spearスピアー,,50,15,15,80,145,bug,poison,29.5,1,0
